供应商公司名,截止日期,房地产对其应付账款,供应商年营业收入,供应商来自房地产公司收入,供应商总收入,流动资产,流动负债,存货
广田集团,2022年年末,8870.00 ,3563.73 ,8870.00 ,3563.73 ,8047.58 ,15203.30 ,573.13 
徐辉设计股份有限公司,2022年6月,4190.62 ,198.24 ,4190.62 ,198.26 ,288.48 ,75.02 ,
广东三和管桩股份有限公司,2021年1月,9941.41 ,8169.52 ,9941.41 ,8177.34 ,2622.53 ,2732.51 ,354.76 
超凡知识产权服务股份有限公司,2017年8月,198.12 ,463.20 ,198.12 ,465.11 ,247.35 ,102.43 ,
中建四局第三建设有限公司,,,,,,,,
四川三贤创世建筑工程有限公司,,,,,,,,
中建四局第五建筑工程有限公司,,,,,,,,
河南中原岩土工程有限公司,,,,,,,,
合肥建工集团有限公司,,,,,,,,
中铁二局集团有限公司,,,,,,,,
上海高福建设工程有限公司,,,,,,,,
深圳园林股份有限公司,,,,,,,,
